"Date","TemperatureCMax","TemperatureCMin","TemperatureCAvg","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","station_ID"
"12/31/2024","8.2","3.2","6.7","5.1","89.7","SW","17.6","46.8","1026.8","0.0","8.0","7.9","13.4","06260"
"12/30/2024","6.1","2.9","4.4","4.1","97.3","SSW","13.8","32.4","1028.7","0.9","8.0","7.8","3.0","06260"
"12/29/2024","3.4","0.1","1.5","1.2","97.5","SSW","8.1","21.6","1028.9","0.0","---","---","2.1","06260"
"12/28/2024","3.7","-0.1","1.9","1.5","98.1","S","5.3","18.0","1032.6","0.0","7.2","7.6","1.7","06260"
"12/27/2024","7.4","3.2","5.5","5.2","98.8","SE","6.9","14.4","1036.0","0.1","---","---","2.4","06260"
"12/26/2024","9.6","7.2","8.6","8.3","98.0","SSW","8.3","25.2","1034.7","0.4","8.0","7.8","3.3","06260"
"12/25/2024","8.6","4.4","6.6","6.5","98.4","SSW","9.6","25.2","1027.5","3.1","---","8.0","2.5","06260"
"12/24/2024","8.5","2.5","5.5","2.7","83.5","WNW","10.2","54.0","1019.5","1.5","5.8","6.0","24.4","06260"
"12/23/2024","7.5","3.3","5.4","2.0","79.3","WNW","17.3","50.4","1001.8","11.2","6.6","5.7","25.9","06260"
"12/22/2024","10.2","6.4","8.3","5.9","85.4","SW","20.3","50.4","1004.7","5.3","7.7","7.0","21.8","06260"
"12/21/2024","7.5","4.2","6.4","4.2","85.8","SW","17.1","39.6","1016.3","0.7","8.0","7.4","26.2","06260"
"12/20/2024","12.1","4.4","6.2","3.4","83.7","WNW","13.8","54.0","1006.7","8.6","5.9","4.5","24.0","06260"
"12/19/2024","13.4","8.6","11.7","9.9","87.8","SSW","25.7","64.8","1004.7","7.7","8.0","6.8","22.6","06260"
"12/18/2024","9.4","6.4","8.0","6.2","88.3","SSW","15.8","36.0","1021.6","0.1","8.0","7.9","25.3","06260"
"12/17/2024","10.5","7.1","9.1","7.3","89.2","WSW","15.0","39.6","1028.6","0.8","7.7","7.0","27.7","06260"
"12/16/2024","11.0","6.2","9.2","8.3","92.9","WSW","17.6","43.2","1026.0","0.1","8.0","8.0","14.1","06260"
"12/15/2024","6.2","2.2","4.7","3.7","92.5","SW","12.0","32.4","1019.9","2.9","7.7","6.8","18.1","06260"
"12/14/2024","2.3","0.5","1.5","-0.6","85.8","S","11.7","25.2","1024.5","0.3","8.0","7.9","7.5","06260"
"12/13/2024","4.5","2.2","3.4","2.6","94.8","E","8.0","21.6","1030.9","0.4","8.0","8.0","6.4","06260"
"12/12/2024","3.9","2.4","3.1","1.3","88.8","NE","7.4","25.2","1032.4","0.1","8.0","8.0","12.8","06260"
"12/11/2024","5.3","3.9","4.8","2.1","82.4","NE","15.0","36.0","1031.4","0.0","8.0","7.8","29.0","06260"
"12/10/2024","6.9","4.8","5.9","3.1","82.7","NE","20.3","50.4","1028.9","0.0","8.0","7.8","39.2","06260"
"12/09/2024","7.1","5.8","6.5","4.4","86.8","NNE","16.8","43.2","1017.1","0.2","8.0","7.1","32.4","06260"
"12/08/2024","10.5","6.4","7.6","6.1","90.4","S","19.4","54.0","992.6","5.1","7.3","6.9","19.6","06260"
"12/07/2024","10.0","4.9","7.8","4.8","81.7","WSW","20.7","64.8","1009.2","2.6","8.0","7.5","15.6","06260"
"12/06/2024","11.1","5.1","7.8","6.2","89.1","SSW","22.7","68.4","1005.2","20.9","8.0","7.2","12.1","06260"
"12/05/2024","5.5","3.0","4.8","3.7","92.2","S","10.5","36.0","1024.3","1.2","7.9","7.4","16.4","06260"
"12/04/2024","8.3","-0.7","4.4","1.8","84.2","W","7.5","25.2","1021.5","0.0","6.1","6.3","39.8","06260"
"12/03/2024","11.5","5.9","9.1","7.5","90.9","SW","14.0","32.4","1012.1","6.8","7.5","5.8","24.8","06260"
"12/02/2024","10.1","1.7","6.6","4.1","83.3","S","14.9","32.4","1016.3","2.2","7.7","7.6","23.8","06260"
"12/01/2024","6.8","0.8","4.9","1.8","79.6","SSE","9.9","25.2","1025.8","0.0","6.9","6.9","39.0","06260"
"11/30/2024","7.6","-0.9","3.2","1.2","86.9","SE","11.1","25.2","1030.3","0.0","4.8","6.4","26.4","06260"
"12/01/2024","6.8","0.8","4.9","1.8","79.6","SSE","9.9","25.2","1025.8","0.0","6.9","6.9","39.0","06260"
"11/30/2024","7.6","-0.9","3.2","1.2","86.9","SE","11.1","25.2","1030.3","0.0","4.8","6.4","26.4","06260"
"11/29/2024","10.2","-0.6","5.6","2.9","84.1","WNW","6.3","25.2","1028.9","0.0","4.9","5.8","36.9","06260"
"11/28/2024","11.3","5.2","8.0","6.1","87.5","SW","20.3","64.8","1012.2","11.5","6.7","6.1","27.2","06260"
"11/27/2024","10.1","2.7","6.7","5.1","90.0","SSW","12.8","43.2","1017.5","0.7","5.6","6.5","20.4","06260"
"11/26/2024","16.2","6.7","10.0","7.7","87.9","SW","15.9","43.2","1006.8","4.0","7.1","6.9","22.0","06260"
"11/25/2024","17.1","11.5","15.4","8.2","61.6","S","25.2","50.4","1002.4","0.1","8.0","8.0","44.4","06260"
"11/24/2024","11.5","1.5","6.6","3.9","81.7","S","22.7","54.0","1007.6","9.6","7.8","7.7","36.5","06260"
"11/23/2024","6.2","1.2","3.5","1.4","86.1","SW","13.5","46.8","1007.7","5.9","7.6","6.7","38.1","06260"
"11/22/2024","4.7","-2.8","0.9","-0.9","88.2","SW","8.9","43.2","996.4","3.3","6.0","5.0","30.5","06260"
"11/21/2024","5.7","0.3","2.2","0.6","89.9","WSW","10.4","39.6","1001.7","12.2","6.9","6.2","29.8","06260"
"11/20/2024","5.3","0.4","2.7","1.7","93.8","NW","10.2","36.0","995.0","4.4","7.2","6.4","28.6","06260"
"11/19/2024","7.9","3.4","5.2","3.6","89.3","SSE","8.4","25.2","1005.5","8.2","7.6","7.4","29.1","06260"
"11/18/2024","9.7","4.2","6.5","3.4","81.8","W","12.0","46.8","1009.8","12.9","6.7","5.8","35.9","06260"
"11/17/2024","9.2","7.9","8.6","7.0","89.8","SW","14.4","39.6","1014.1","5.2","8.0","7.4","14.7","06260"
"11/16/2024","10.2","7.7","9.1","7.1","87.6","SSW","9.6","28.8","1024.4","0.0","8.0","7.5","12.5","06260"
