"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm"
6260,2022-12-31,9.7,12.6,4.8,8.3,89.7,"SSW",21,57.6,1001.3,17.4,8,7,22
6260,2022-12-30,8.1,10.4,5,5.1,82.7,"SW",23,61.2,1004.9,2.6,5.5,5.3,28.3
6260,2022-12-29,10,11.5,8.9,7.8,86.1,"SSW",26,57.6,1002.9,5.1,7.8,6.5,27.4
6260,2022-12-28,6.3,8.9,4.2,4.2,85.8,"SSW",19.5,50.4,1018.4,0.9,7,6.8,30.6
6260,2022-12-27,6.1,9.8,3.9,2.6,79.4,"WSW",15.9,50.4,1017.2,0.7,5.3,5,37.9
6260,2022-12-26,8.7,9.3,7.7,8.2,96,"SSW",9.5,32.4,1009.9,8.9,8,7.8,7.9
6260,2022-12-25,9,11,6.9,7.4,90.6,"SSW",12,36,1012.7,0,7.2,6.9,9.9
6260,2022-12-24,9.5,11,8.4,8.3,92.2,"SW",14.1,50.4,1003.4,11.3,7.4,6.7,7.2
6260,2022-12-23,8.7,10.1,7,8,95.3,"SW",10.4,36,1003.9,5.9,7.3,7.3,5.7
6260,2022-12-22,8.3,9.3,7.4,7.5,94.1,"SSW",11.7,36,1006.3,1.2,7.8,7.8,6.3
6260,2022-12-21,9.4,11.2,6.5,8.4,94.4,"SSW",12.8,39.6,1009.7,7.4,NA,8,9.5
6260,2022-12-20,9.2,10.6,6.2,6.8,84.7,"S",20.1,43.2,1012.8,3.1,8,7.2,36.6
6260,2022-12-19,-0.5,6.2,-6.2,-2.6,84.1,"SSE",16.2,36,1020.4,4.8,8,7.8,14.2
6260,2022-12-18,-2.7,-0.3,-6.4,-4,92.1,"SSE",11.7,28.8,1026.8,0,7.8,7.8,3.1
6260,2022-12-17,-1,3.7,-4.6,-2.1,91.5,"SE",7.2,21.6,1019.3,0,5,6,9.4
6260,2022-12-16,-1.4,3,-6.9,-2.6,90.5,"SSW",6,14.4,1009.3,0.3,4.2,5.3,7.6
6260,2022-12-15,-5.1,0.6,-7.6,-7.5,84,"WSW",4.5,10.8,1004.8,0,0.4,2.5,17.7
6260,2022-12-14,-3.6,-1.4,-6.8,-5.8,84.5,"E",7.8,18,1007.9,0,7,8,11.6
6260,2022-12-13,-3.7,0.8,-7.6,-5.2,90,"SE",5.1,14.4,1012.4,0,0.4,3,7.7
6260,2022-12-12,0.7,2,-3.4,-1.5,86,"SSE",7.7,18,1010.2,0,7,7.3,9.4
6260,2022-12-11,0,1.5,-1.5,-0.5,96.4,"S",9.8,25.2,1010.5,0,NA,NA,1.9
6260,2022-12-10,-0.1,2.2,-1.9,-1.2,92.6,"SSW",7.2,25.2,1007.2,0,5.8,6.2,3.8
6260,2022-12-09,1.8,3.8,-1.4,0.7,93.3,"SSW",6.6,32.4,1006.9,2.1,7.6,7,18.7
6260,2022-12-08,4.2,6.9,1.7,2.1,86.7,"WSW",8.3,32.4,1013.1,5,7.2,6.2,38.8
6260,2022-12-07,4.4,7.5,1,3,91.3,"W",6.8,21.6,1018.7,1.2,5.9,6,26.3
6260,2022-12-06,5.2,5.6,4.2,4.2,93.2,"N",9.2,21.6,1020.3,0,8,7.2,18.2
6260,2022-12-05,1.9,4.2,0.2,-0.1,86.2,"ENE",14,36,1018.4,0,8,8,7.8
6260,2022-12-04,0.7,2.5,-0.1,-2.3,80.5,"ENE",14.6,32.4,1020.1,0,8,8,8.2
6260,2022-12-03,2.4,3.2,1.9,-0.8,80.1,"NE",16.2,39.6,1024.6,0,8,8,10.6
6260,2022-12-02,3.4,7,-1,2.1,91.1,"NNE",7.1,21.6,1027.3,0,4,6.2,4
6260,2022-12-01,4.9,8.9,-0.1,3.9,94.1,"N",5.7,14.4,1026.4,0,5.6,5.7,4.6
