"station_ID","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","Gustkmh","P0hPa","PseahPa","PTnd","Precmm","Nt","Nh","HKm","Viskm","InsoD1","Snowcm","pr6","pr12","pr24"
6260,2020-12-31 23:00:00,-1.7,-1.9,"99",NA,NA,"WSW",3.6,3.6,1005.3,1005.7,1,"0.0/1h",3,3,1,0.1,NA,NA,NA,NA,NA
6260,2020-12-31 22:00:00,-1,-1.4,"97",NA,NA,"SSW",3.6,3.6,1005.1,1005.5,1,"0.0/1h",3,3,1,0.1,NA,NA,NA,NA,NA
6260,2020-12-31 21:00:00,0.6,0.4,"99",NA,NA,"WNW",3.6,7.2,1004.7,1005.1,1.2,"0.0/1h",1,1,1,0.7,NA,NA,NA,NA,NA
6260,2020-12-31 20:00:00,1.4,1,"97",NA,NA,"SW",3.6,7.2,1004.4,1004.7,1.1,"0.0/1h",8,8,1,1.3,NA,NA,NA,NA,NA
6260,2020-12-31 19:00:00,0.8,0.6,"99",NA,NA,"CAL",0,7.2,1004,1004.5,1.2,"0.0/1h",7,7,1,1.2,NA,NA,NA,NA,NA
6260,2020-12-31 18:00:00,1,0.7,"98","4.0",NA,"SSE",3.6,3.6,1003.5,1003.9,1,"0.0/12h",8,8,1,0.8,NA,NA,NA,0,NA
6260,2020-12-31 17:00:00,1,0.9,"99",NA,NA,"CAL",0,3.6,1003.2,1003.6,1.1,"0.0/1h",5,5,1,1.7,NA,NA,NA,NA,NA
6260,2020-12-31 16:00:00,3,2.4,"96",NA,NA,"CAL",0,3.6,1002.8,1003.3,1.3,"0.0/1h",7,6,0.6,6,NA,NA,NA,NA,NA
6260,2020-12-31 15:00:00,3.6,2.5,"93",NA,NA,"CAL",0,7.2,1002.5,1002.9,0.8,"0.0/1h",7,7,0.6,8,NA,NA,NA,NA,NA
6260,2020-12-31 14:00:00,3.7,2.2,"90",NA,NA,"ESE",3.6,7.2,1002,1002.5,0.2,"0.0/1h",8,7,0.3,8,NA,NA,NA,NA,NA
6260,2020-12-31 13:00:00,4,2.2,"88",NA,NA,"SW",3.6,3.6,1001.6,1002,NA,"0.0/1h",8,5,0.3,8,NA,NA,NA,NA,NA
6260,2020-12-31 12:00:00,3.8,2.6,"92",NA,NA,"S",3.6,10.8,1001.7,1002.1,0,"0.0/6h",8,8,0.2,7,NA,NA,0,NA,NA
6260,2020-12-31 11:00:00,3.3,2.4,"94",NA,NA,"S",3.6,10.8,1002,1002.3,0.3,"0.0/1h",8,8,0.1,8,NA,NA,NA,NA,NA
6260,2020-12-31 10:00:00,3.2,2.5,"95",NA,NA,"SE",7.2,10.8,1002,1002.4,0.8,"0.0/1h",8,8,0.1,8,NA,NA,NA,NA,NA
6260,2020-12-31 09:00:00,3.1,2.6,"97",NA,NA,"SSE",7.2,10.8,1001.8,1002.1,0.7,"0.0/1h",8,8,0.1,6,NA,NA,NA,NA,NA
6260,2020-12-31 08:00:00,2.9,2.5,"97",NA,NA,"S",3.6,10.8,1001.5,1002,0.8,"0.0/1h",8,6,0.2,5,NA,NA,NA,NA,NA
6260,2020-12-31 07:00:00,3.1,2.4,"95",NA,NA,"S",7.2,10.8,1001.2,1001.6,NA,"0.0/1h",8,8,0.2,7,NA,NA,NA,NA,NA
6260,2020-12-31 06:00:00,2.9,2.3,"96",NA,"2.2","S",3.6,14.4,1000.9,1001.4,NA,"3.8/24h3.0/12h",8,8,0.1,5,NA,NA,NA,3,3.8
6260,2020-12-31 05:00:00,2.9,2.6,"98",NA,NA,"S",7.2,10.8,1000.8,1001.2,NA,"0.0/1h",8,8,2,8,NA,NA,NA,NA,NA
6260,2020-12-31 04:00:00,3.2,2.6,"96",NA,NA,"S",3.6,10.8,1001.3,1001.7,NA,"0.0/1h",8,7,0.2,7,NA,NA,NA,NA,NA
6260,2020-12-31 03:00:00,2.3,1.6,"95",NA,NA,"SSE",7.2,21.6,1001.7,1002.1,NA,"0.5/1h",8,7,0.3,11,NA,NA,NA,NA,NA
6260,2020-12-31 02:00:00,2.3,1.7,"96",NA,NA,"SSW",7.2,14.4,1001.9,1002.3,NA,"2.0/1h",8,8,0.3,11,NA,NA,NA,NA,NA
6260,2020-12-31 01:00:00,3.2,2.4,"94",NA,NA,"SSW",10.8,14.4,1001.9,1002.3,NA,"0.1/1h",8,5,0.3,10,NA,NA,NA,NA,NA
6260,2020-12-31,3.2,2.3,"94",NA,NA,"SSW",7.2,25.2,1002.2,1002.6,0.1,"0.3/6h",8,6,0.6,13,NA,NA,0.3,NA,NA
6260,2020-12-30 23:00:00,3.5,1.8,"89",NA,NA,"SSW",14.4,21.6,1002.2,1002.6,0.1,"0.0/1h",8,8,1.5,15,NA,NA,NA,NA,NA
6260,2020-12-30 22:00:00,3.6,1.8,"88",NA,NA,"SSW",10.8,21.6,1002.2,1002.7,0.3,"0.0/1h",8,8,2,15,NA,NA,NA,NA,NA
6260,2020-12-30 21:00:00,3.9,2.2,"89",NA,NA,"SSW",14.4,21.6,1002.1,1002.5,0.4,"0.0/1h",8,7,1,12,NA,NA,NA,NA,NA
6260,2020-12-30 20:00:00,3.8,2.2,"89",NA,NA,"SSW",10.8,21.6,1002.1,1002.5,0.4,"0.0/1h",8,8,2.5,16,NA,NA,NA,NA,NA
6260,2020-12-30 19:00:00,4.5,2.4,"86",NA,NA,"SSW",14.4,25.2,1002,1002.4,0.5,"0.0/1h",8,6,1,35,NA,NA,NA,NA,NA
6260,2020-12-30 18:00:00,4.7,2.6,"86","6.8",NA,"WSW",10.8,28.8,1001.7,1002.1,0.9,"0.6/12h",8,5,1,27,NA,NA,NA,0.6,NA
6260,2020-12-30 17:00:00,5.1,2.5,"83",NA,NA,"SW",10.8,21.6,1001.7,1002.1,1.4,"0.0/1h",8,7,1,45,NA,NA,NA,NA,NA
6260,2020-12-30 16:00:00,5.3,2.7,"83",NA,NA,"SW",18,28.8,1001.4,1001.9,1.7,"0.0/1h",8,5,0.6,45,NA,NA,NA,NA,NA
6260,2020-12-30 15:00:00,5.5,3.6,"88",NA,NA,"SW",10.8,28.8,1000.8,1001.2,1.2,"0.0/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2020-12-30 14:00:00,5.1,3.8,"91",NA,NA,"W",7.2,21.6,1000.3,1000.7,0.9,"0.4/1h",8,5,0.3,12,NA,NA,NA,NA,NA
6260,2020-12-30 13:00:00,6.3,4.1,"86",NA,NA,"SW",10.8,21.6,999.7,1000.2,0.6,"0.1/1h",8,5,1,40,NA,NA,NA,NA,NA
6260,2020-12-30 12:00:00,5.7,3.2,"84",NA,NA,"WSW",14.4,25.2,999.5,1000,0.9,"0.1/6h",8,8,1.5,19,NA,NA,0.1,NA,NA
6260,2020-12-30 11:00:00,6,3.7,"85",NA,NA,"SW",10.8,21.6,999.3,999.8,1.4,"0.0/1h",3,3,2,29,NA,NA,NA,NA,NA
6260,2020-12-30 10:00:00,4.5,3.2,"91",NA,NA,"SW",10.8,18,999.1,999.6,1.9,"0.0/1h",6,6,2.5,29,NA,NA,NA,NA,NA
6260,2020-12-30 09:00:00,4.1,2.8,"91",NA,NA,"SW",10.8,18,998.6,999.1,2,"0.0/1h",6,6,1.5,22,NA,NA,NA,NA,NA
6260,2020-12-30 08:00:00,3.7,3,"95",NA,NA,"SW",10.8,18,997.9,998.4,1.6,"0.0/1h",8,8,0.6,13,NA,NA,NA,NA,NA
6260,2020-12-30 07:00:00,3.7,2.7,"93",NA,NA,"SW",10.8,18,997.2,997.7,1.3,"0.0/1h",8,8,0.6,30,NA,NA,NA,NA,NA
6260,2020-12-30 06:00:00,3.4,2.5,"94",NA,"2.4","SSW",10.8,21.6,996.6,997.1,0.9,"2.6/24h0.1/12h",8,8,1,20,NA,NA,NA,0.1,2.6
6260,2020-12-30 05:00:00,3.3,2.4,"94",NA,NA,"SW",10.8,21.6,996.3,996.8,0.8,"0.0/1h",7,7,0.6,23,NA,NA,NA,NA,NA
6260,2020-12-30 04:00:00,2.8,2.1,"95",NA,NA,"SW",10.8,18,996,996.4,0.9,"0.0/1h",7,5,1.5,8,NA,NA,NA,NA,NA
6260,2020-12-30 03:00:00,2.8,1.8,"93",NA,NA,"SSW",10.8,21.6,995.8,996.2,0.9,"0.0/1h",8,8,2.5,11,NA,NA,NA,NA,NA
6260,2020-12-30 02:00:00,2.9,1.7,"92",NA,NA,"SW",10.8,21.6,995.6,996,1.2,"0.0/1h",8,8,2.5,15,NA,NA,NA,NA,NA
6260,2020-12-30 01:00:00,2.5,1.4,"92",NA,NA,"SW",10.8,18,995.1,995.5,1.1,"0.0/1h",7,7,2.5,30,NA,NA,NA,NA,NA
6260,2020-12-30,2.8,1.6,"92",NA,NA,"SW",14.4,25.2,994.9,995.3,1.2,"0.1/6h",2,2,1,11,NA,NA,0.1,NA,NA
6260,2020-12-29 23:00:00,3.2,1.6,"89",NA,NA,"SW",14.4,21.6,994.3,994.8,1.3,"0.0/1h",0,NA,NA,12,NA,NA,NA,NA,NA
6260,2020-12-29 22:00:00,3.8,2.2,"89",NA,NA,"SW",14.4,25.2,993.9,994.4,1.7,"0.0/1h",5,5,1,13,NA,NA,NA,NA,NA
6260,2020-12-29 21:00:00,4.2,3,"92",NA,NA,"WSW",10.8,21.6,993.6,994.1,2.3,"0.0/1h",8,7,0.6,16,NA,NA,NA,NA,NA
6260,2020-12-29 20:00:00,4.1,3,"93",NA,NA,"SW",10.8,21.6,993,993.5,2.2,"0.0/1h",8,6,0.3,19,NA,NA,NA,NA,NA
6260,2020-12-29 19:00:00,4.2,3.3,"94",NA,NA,"SW",10.8,21.6,992.3,992.7,2.3,"0.1/1h",8,5,0.6,17,NA,NA,NA,NA,NA
6260,2020-12-29 18:00:00,4.3,3.2,"93","5.8",NA,"SW",14.4,28.8,991.4,991.8,2.2,"3.0/12h",8,5,0.3,12,NA,NA,NA,3,NA
