"Sample","Date","DateNr","dDay1","dDay2","dDay3","Station","Area","31UE_ED50","31UN_ED50","Year","Month","Season","Salinity","Temperature","CHLFa"
"DANT.19900110",19900110,"33147",7,9,9,"DANT","WZ",681379.62,5920571.24,1990,1,"winter","29.190000000000001","4","1.3"
"DANT.19900206",19900206,"33026",34,36,36,"DANT","WZ",681379.62,5920571.24,1990,2,"winter","27.370000000000001","6","NA"
"DANT.19900308",19900308,"33088",64,66,66,"DANT","WZ",681379.62,5920571.24,1990,3,"spring","24.989999999999998","7.2999999999999998","21.100000000000001"
"DANT.19900404",19900404,"32967",91,93,93,"DANT","WZ",681379.62,5920571.24,1990,4,"spring","28.789999999999999","8.1999999999999993","25"
"DANT.19900509",19900509,"33121",126,128,128,"DANT","WZ",681379.62,5920571.24,1990,5,"spring","33.280000000000001","17.399999999999999","10.199999999999999"
"DANT.19900620",19900620,"6/20/1990",168,170,170,"DANT","WZ",681379.62,5920571.24,1990,6,"summer","32.689999999999998","18.100000000000001","6.2000000000000002"
"DANT.19900718",19900718,"7/18/1990",196,198,198,"DANT","WZ",681379.62,5920571.24,1990,7,"summer","31.899999999999999","17","7.9000000000000004"
"DANT.19900815",19900815,"8/15/1990",224,226,226,"DANT","WZ",681379.62,5920571.24,1990,8,"summer","33.759999999999998","21","7.8499999999999996"
"DANT.19900919",19900919,"9/19/1990",259,261,261,"DANT","WZ",681379.62,5920571.24,1990,9,"autumn","32.530000000000001","15.1","13"
"DANT.19901017",19901017,"10/17/1990",287,289,289,"DANT","WZ",681379.62,5920571.24,1990,10,"autumn","32.530000000000001","13.800000000000001","11.800000000000001"
"DANT.19901114",19901114,"11/14/1990",315,317,317,"DANT","WZ",681379.62,5920571.24,1990,11,"autumn","31.379999999999999","9","14.9"
"DANT.19901212",19901212,"33219",343,345,345,"DANT","WZ",681379.62,5920571.24,1990,12,"winter","31.5","4.2000000000000002","60.5"
"DANT.19910116",19910116,"1/16/1991",378,380,15,"DANT","WZ",681379.62,5920571.24,1991,1,"winter","20.829999999999998","-0.29999999999999999","2.2999999999999998"
"DANT.19910226",19910226,"2/26/1991",419,421,56,"DANT","WZ",681379.62,5920571.24,1991,2,"winter","28.059999999999999","3.8999999999999999","3.52"
"DANT.19910314",19910314,"3/14/1991",435,437,72,"DANT","WZ",681379.62,5920571.24,1991,3,"spring","30.550000000000001","8.6999999999999993","0.81999999999999995"
