municipality;urbscore;inhabitants;cocaine ;amphetamine ;mdma
Netherlands;0.56;17591440;409;232;77
Ameland;0.00;3760;148;204;40
Noord-Beveland;0.00;7670;148;204;40
Schiermonnikoog;0.00;940;148;204;40
Terschelling;0.00;4960;148;204;40
Vlieland;0.00;1200;148;204;40
Westerveld;0.00;19850;148;204;40
De Wolden;0.04;24510;160;206;42
Aa en Hunze;0.04;25580;160;206;42
Westerwolde;0.05;26570;160;207;42
Buren;0.05;27160;161;207;42
Borger-Odoorn;0.05;25690;162;207;42
Gulpen-Wittem;0.05;14180;162;207;42
Tubbergen;0.05;21370;163;207;42
Alphen-Chaam;0.06;10430;166;207;43
Roerdalen;0.07;20560;167;208;43
Bergen (L.);0.08;13100;169;208;43
West Maas en Waal;0.08;19670;170;208;44
Borsele;0.08;22840;172;208;44
Veere;0.09;21860;173;209;44
Molenlanden;0.09;44640;173;209;44
Maasgouw;0.09;24030;174;209;44
Staphorst;0.09;17280;175;209;44
Leudal;0.09;35930;175;209;44
Opsterland;0.09;29790;175;209;44
Lopik;0.09;14520;175;209;44
Bronckhorst;0.10;36080;177;209;45
Midden-Drenthe;0.10;33690;178;209;45
Het Hogeland;0.10;48020;178;209;45
Dantumadiel;0.11;18960;179;209;45
West Betuwe;0.11;51970;180;209;45
Waadhoeke;0.11;46310;180;210;45
Achtkarspelen;0.11;27960;181;210;45
Sluis;0.11;23150;181;210;45
Hollands Kroon;0.11;48790;181;210;45
Maasdriel;0.12;25500;182;210;46
Tytsjerksteradiel;0.12;32290;183;210;46
Ooststellingwerf;0.12;25680;184;210;46
Koggenland;0.12;23050;185;210;46
Westerkwartier;0.12;64310;185;210;46
Voerendaal;0.12;12420;185;210;46
Hulst;0.12;27530;185;210;46
Noardeast-Fryslƒn;0.12;45590;185;210;46
Olst-Wijhe;0.12;18500;185;210;46
Beekdaelen;0.12;35930;185;210;46
Baarle-Nassau;0.13;6930;186;210;46
Altena;0.13;57010;186;210;46
Eijsden-Margraten;0.13;25860;186;210;46
Mook en Middelaar;0.13;7990;187;211;46
Pekela;0.13;12190;188;211;46
Neder-Betuwe;0.13;25030;188;211;47
Dinkelland;0.14;26600;189;211;47
Tholen;0.14;26400;190;211;47
Bergeijk;0.14;18880;191;211;47
Coevorden;0.14;35520;192;211;47
Drechterland;0.14;19980;192;211;47
Tynaarlo;0.15;34220;193;211;47
Schouwen-Duiveland;0.15;34160;193;211;47
Nieuwkoop;0.15;29310;193;211;47
Medemblik;0.15;45460;195;212;48
Reimerswaal;0.16;22920;196;212;48
Meerssen;0.16;18580;197;212;48
Renswoude;0.16;5650;197;212;48
Dalfsen;0.16;29170;198;212;48
Boekel;0.16;11030;198;212;48
Hardenberg;0.16;61800;199;212;48
Opmeer;0.17;12070;200;212;48
Twenterand;0.17;33720;201;212;49
Voorst;0.17;24990;201;212;49
Ommen;0.17;18470;201;212;49
Eersel;0.17;19830;203;213;49
Reusel-De Mierden;0.18;13270;204;213;49
De Fryske Marren;0.18;51600;204;213;49
Valkenburg aan de Geul;0.18;16170;204;213;49
Hilvarenbeek;0.18;15820;205;213;49
Horst aan de Maas;0.18;43050;206;213;49
Steenwijkerland;0.19;44750;207;213;49
Oirschot;0.19;19060;208;213;50
Peel en Maas;0.19;44280;208;213;50
Cranendonck;0.19;20670;209;214;50
Bunnik;0.19;15590;209;214;50
Wijdemeren;0.19;24500;209;214;50
Zundert;0.19;22260;210;214;50
Land van Cuijk;0.19;90710;211;214;50
Heeze-Leende;0.19;16470;211;214;50
Westvoorne;0.20;14970;212;214;50
Sint-Michielsgestel;0.20;29730;212;214;50
Berg en Dal;0.20;34950;213;214;50
Hof van Twente;0.20;35060;213;214;50
Lochem;0.20;34080;214;214;50
Weststellingwerf;0.20;26270;214;214;50
Heerde;0.21;18980;215;214;51
Zaltbommel;0.21;29960;215;214;51
Simpelveld;0.21;10430;216;214;51
Texel;0.21;13690;216;214;51
Nederweert;0.21;17320;217;214;51
Gennep;0.21;17240;217;214;51
Raalte;0.21;38150;217;215;51
Eemsdelta;0.22;45390;219;215;51
Waterland;0.22;17340;219;215;51
Laarbeek;0.22;22950;219;215;51
Oude IJsselstreek;0.22;39380;219;215;51
Berkelland;0.22;43850;221;215;51
Kaag en Braassem;0.22;27900;221;215;52
Son en Breugel;0.22;17770;221;215;52
Bernheze;0.22;31710;221;215;52
Oldebroek;0.23;23930;224;215;52
Goeree-Overflakkee;0.23;51050;224;215;52
Zwartewaterland;0.23;23010;225;216;52
Kapelle;0.23;13020;225;216;52
Noordenveld;0.23;31240;226;216;52
Losser;0.23;23090;226;216;52
Rucphen;0.24;23320;228;216;53
Echt-Susteren;0.24;31730;229;216;53
Woensdrecht;0.24;22110;230;216;53
Halderberge;0.24;30780;231;216;53
Drimmelen;0.25;27480;231;216;53
Steenbergen;0.25;24330;231;216;53
Noordoostpolder;0.25;48060;233;216;53
Wierden;0.25;24640;234;217;53
Elburg;0.25;23740;234;217;53
Montfoort;0.25;13820;235;217;54
Montferland;0.25;36360;235;217;54
Beesel;0.26;13410;235;217;54
Epe;0.26;33260;237;217;54
Oost Gelre;0.26;29600;238;217;54
Aalten;0.26;27090;238;217;54
Bladel;0.26;20730;238;217;54
Heumen;0.26;17180;238;217;54
Moerdijk;0.26;37310;239;217;54
Stadskanaal;0.26;31860;239;217;54
Schagen;0.26;46840;239;217;54
Someren;0.26;19700;239;217;54
Oldambt;0.26;38520;239;217;54
Krimpenerwaard;0.27;57070;242;217;55
S£dwest-Fryslƒn;0.28;90310;245;218;55
Utrechtse Heuvelrug;0.28;49970;245;218;55
Dronten;0.28;42860;246;218;55
Emmen;0.28;107860;248;218;55
Doesburg;0.29;11040;249;218;56
Terneuzen;0.29;54500;249;218;56
Druten;0.29;19170;249;218;56
Midden-Groningen;0.29;60910;250;218;56
Nunspeet;0.29;28230;250;218;56
Hoeksche Waard;0.29;88710;251;218;56
Brummen;0.30;20890;253;219;56
Beek (L.);0.30;15820;254;219;56
Hellendoorn;0.30;35950;254;219;56
Hattem;0.30;12310;256;219;57
Gemert-Bakel;0.30;31040;256;219;57
Overbetuwe;0.30;48260;257;219;57
Oudewater;0.31;10160;258;219;57
Bergen (NH.);0.31;29730;259;219;57
Waalre;0.31;17630;260;219;57
Vijfheerenlanden;0.31;58790;261;220;57
Deurne;0.32;32610;265;220;58
Brielle;0.32;17710;265;220;58
Stein (L.);0.33;24800;269;220;59
Asten;0.33;17070;269;220;59
Rozendaal;0.33;1760;270;220;59
Rhenen;0.33;20260;271;221;59
Zoeterwoude;0.33;9300;272;221;59
Zevenaar;0.34;44640;274;221;59
Renkum;0.34;31360;274;221;59
Barneveld;0.34;60590;275;221;59
Eemnes;0.34;9450;276;221;59
Heerenveen;0.34;51120;276;221;59
Hardinxveld-Giessendam;0.34;18520;276;221;59
Scherpenzeel;0.34;10320;277;221;60
Lingewaard;0.35;46960;278;221;60
De Ronde Venen;0.35;44960;278;221;60
Oisterwijk;0.35;32490;281;222;60
Aalsmeer;0.35;32460;282;222;60
Zeewolde;0.35;23350;282;222;60
Woudenberg;0.36;13880;283;222;60
Meierijstad;0.36;82610;287;222;61
Beuningen;0.36;26240;287;222;61
Venray;0.37;43960;288;222;61
Putten;0.37;24600;292;223;62
Veendam;0.38;27460;294;223;62
Landsmeer;0.38;11560;294;223;62
Oostzaan;0.38;9650;296;223;62
Haaksbergen;0.38;24270;297;223;62
Albrandswaard;0.39;25940;301;223;63
Blaricum;0.39;12360;302;224;63
Ermelo;0.39;27260;302;224;63
Bloemendaal;0.40;23740;306;224;63
Loon op Zand;0.40;23770;306;224;64
Nuenen. Gerwen en Nederwetten;0.40;23820;309;224;64
Harlingen;0.41;15900;310;224;64
Maashorst;0.41;58360;312;224;64
Urk;0.41;21470;313;225;64
Heusden;0.41;45550;313;225;64
Doetinchem;0.41;58550;314;225;65
Bodegraven-Reeuwijk;0.42;35760;315;225;65
Hoogeveen;0.42;55860;316;225;65
Wijk bij Duurstede;0.42;23920;318;225;65
Vught;0.42;31790;320;225;65
Laren (NH.);0.43;11530;322;225;66
Nijkerk;0.43;44310;325;226;66
Wijchen;0.43;41340;325;226;66
Rijssen-Holten;0.43;38230;326;226;66
Boxtel;0.44;33130;328;226;66
Meppel;0.44;34770;328;226;66
Stichtse Vecht;0.44;65240;328;226;66
Gilze en Rijen;0.44;26560;331;226;67
Geertruidenberg;0.44;21950;331;226;67
Duiven;0.44;24950;331;226;67
Winterswijk;0.44;29190;332;226;67
Vaals;0.45;10140;333;226;67
Uitgeest;0.45;13570;334;226;67
Dongen;0.45;26490;336;227;67
Goirle;0.45;23980;337;227;68
Smallingerland;0.45;55890;338;227;68
Stede Broec;0.46;21950;340;227;68
Borne;0.46;24000;342;227;68
Midden-Delfland;0.46;19490;343;227;68
Zuidplas;0.46;45800;344;227;68
Woerden;0.47;52880;345;227;69
Westervoort;0.47;14940;347;227;69
Waalwijk;0.47;49340;347;227;69
